3-sphere	, drug
Aldose reductase inhibitor	, drug
Antiviral drug	, drug
Botulinum toxin	, drug
Brunch	, drug
Clozapine	, drug
Darbepoetin alfa	, drug
Electroconvulsive therapy	, drug
Extracorporeal shock wave lithotripsy	, drug
Fairy	, drug
Folic acid	, drug
Hyoscine hydrobromide	, drug
Laudanum	, drug
Mescaline	, drug
Nicotine	, drug
Orange juice	, drug
Paclitaxel	, drug
Phenytoin	, drug
Psychedelic drug	, drug
Psychiatric medication	, drug
Psychosurgery	, drug
Sildenafil	, drug
Sodium thiopental	, drug
Tesseract	, drug
Testosterone	, drug
Tetracycline	, drug
Thalidomide	, drug
Theobromine	, drug
Tritium	, drug
Valproate	, drug
Vitamin C	, drug
Dopamine releasing agent	, drug
Dukat (Star Trek)	, drug
Kujata (mythology)	, drug
Zolmitriptan	, drug
Arachidonylcyclopropylamide	, drug
Ariadne (psychedelic)	, drug
Bob Pease	, drug
Carboxybenzyl	, drug
Cheese (recreational drug)	, drug
Clenbuterol	, drug
Dihydroergocryptine	, drug
Dopamine (medication)	, drug
EMM (psychedelic)	, drug
ExOR (wireless network protocol)	, drug
GABA reuptake inhibitor	, drug
Helium-4	, drug
Kalam cosmological argument	, drug
Liquid paraffin (drug)	, drug
MEDA	, drug
Methoxphenidine	, drug
Mine Owners' Association	, drug
Noradrenergic and specific serotonergic antidepressant	, drug
Ortho-DOT	, drug
Pentylenetetrazol	, drug
Phenethylamine	, drug
Phenylbutazone	, drug
Renal replacement therapy	, drug
Sarrus linkage	, drug
Simon Bar Sinister	, drug
Spectinomycin	, drug
Sulfamethoxazole	, drug
Sulfasalazine	, drug
Switchgear	, drug
Adapalene, drug
benzoyl peroxide	, drug
Castle Craig Hospital	, drug
Clindamycin, drug
tretinoin	, drug
Kamen Rider Battle: Ganbaride	, drug
Lomitapide	, drug
Pimavanserin	, drug
Pomalidomide	, drug
The Rogosin Institute	, drug
Toceranib	, drug
Downtown Santa Ana Historic Districts	, drug
Afloqualone	, drug
Bekhterev's mixture	, drug
Docetaxel	, drug
Fagin	, drug
JTE-907	, drug
LAE-32	, drug
Misoprostol	, drug
Amitriptyline	, drug
Antihypertensive drug	, drug
Atorvastatin	, drug
Bisphosphonate	, drug
Bromocriptine	, drug
Catenation	, drug
Cathine	, drug
Cathinone	, drug
Ciglitazone	, drug
Dofetilide	, drug
Edrophonium	, drug
Ergoline	, drug
Ergotamine	, drug
Farnesyltransferase inhibitor	, drug
Fenfluramine, drug
phentermine	, drug
Guaifenesin protocol	, drug
Isoniazid	, drug
Itraconazole	, drug
Mesotherapy	, drug
Metoidioplasty	, drug
Oxycodone, drug
aspirin	, drug
Pergolide	, drug
Pethidine	, drug
Pilocarpine	, drug
Prednisolone	, drug
Puromycin	, drug
Serotonin–norepinephrine reuptake inhibitor	, drug
Theories of general anaesthetic action	, drug
Trastuzumab	, drug
Trigonometric polynomial	, drug
Troglitazone	, drug
Tyramine	, drug
MVA85A	, drug
Mahishasura	, drug
Parallel motion	, drug
Liraglutide	, drug
4'-Methyl-α-pyrrolidinobutiophenone	, drug
Ajulemic acid	, drug
Alpha-Pyrrolidinobutiophenone	, drug
Autoantibody	, drug
Benzbromarone	, drug
Bilastine	, drug
Bisoxatin	, drug
Chlorphenoxamine	, drug
Dextrothyroxine	, drug
Docusate	, drug
Echinocandin	, drug
Erythromycin, drug
sulfafurazole	, drug
Fenoprofen	, drug
Fentiazac	, drug
Hemofiltration	, drug
Insulin aspart	, drug
Insulin degludec	, drug
Isothipendyl	, drug
Lonazolac	, drug
Lorcaserin	, drug
Measles vaccine	, drug
Mepyramine	, drug
Nifenazone	, drug
Olaratumab	, drug
Olokizumab	, drug
Omacetaxine mepesuccinate	, drug
Pertussis vaccine	, drug
Prifinium bromide	, drug
Procaterol	, drug
Proglumide	, drug
Sisomicin	, drug
Sofosbuvir	, drug
Sulfafurazole	, drug
Suxibuzone	, drug
Tesamorelin	, drug
Tobacco smoke enema	, drug
Tolmetin	, drug
Tomotherapy	, drug
Tramazoline	, drug
Troxipide	, drug
Migalastat	, drug
Paricalcitol	, drug
Tacalcitol	, drug
2-MDP	, drug
5-Fluoro-AMT	, drug
Clofenciclan	, drug
Cypenamine	, drug
Cyprodenate	, drug
Dexoxadrol	, drug
Etamivan	, drug
Etoxadrol	, drug
Faxeladol	, drug
Gilutensin	, drug
Hexacyclonate	, drug
Indanorex	, drug
Levophacetoperane	, drug
Methedrone	, drug
Norcocaine	, drug
RTI-121	, drug
Valnemulin	, drug
Valofane	, drug
1,4,6-Androstatriene-3,17-dione	 , drug
2,alpha-DMT	 , drug
6-MeO-THH	, drug
Abecarnil	, drug
Acetorphine	, drug
Acetoxyketobemidone	, drug
Adrenalone	, drug
Allylprodine	, drug
Alpha,N,O-TMS	 , drug
Alpha,N-DMT	 , drug
Amlexanox	, drug
Amphetaminil	, drug
Anethole trithione	, drug
Arbutamine	, drug
Arfendazam	, drug
Aurotioprol	, drug
Befunolol	, drug
Bendazac	, drug
Benoxaprofen	, drug
Benzofuranylpropylaminopentane	, drug
Bromazine	, drug
Bumadizone	, drug
CX-546	, drug
CX614	, drug
Cafedrine	, drug
Calcium dobesilate	, drug
Calcium glubionate	, drug
Calcium glucoheptonate	, drug
Calcium hexamine thiocyanate	, drug
Calcium pangamate	, drug
Canrenone	, drug
Ceftobiprole	, drug
Ciramadol	, drug
Clofezone	, drug
Co-amilofruse	, drug
Cyprenorphine	, drug
Dapiprazole	, drug
Deptropine	, drug
Dexibuprofen	, drug
